ID	frame	x(m)	y(m)	t(s)	speed(m/s)	headway(s)	density(1/m)
3.0	1914.0	14.355964085088166	-0.10982486969825422	1.75	0.4928084050541015	0.9142459149118347	1.031717090695622
5.0	1915.0	0.3199400000000001	-0.12695999999999996	1.86	0.44395000000000073	1.0289199999999998	1.054340720747317
7.0	1915.0	1.34886	-0.12372000000000005	1.77	0.5315750000000008	0.8679999999999997	1.1865572351190543
9.0	1915.0	2.2168599999999996	-0.006329999999999947	1.74	0.4548869378117337	0.8175486956761326	1.4230665235430582
11.0	1915.0	3.0344086956761323	0.052030046738306135	1.58	0.2302221626931089	0.5878669801986187	1.5936462069604205
13.0	1915.0	3.622275675874751	0.014628788949656801	1.83	0.3043010313024863	0.6671167114543879	1.546337830422296
15.0	1915.0	4.289392387329139	0.13114097984971407	1.73	0.18178402456634046	0.6262617215454771	1.6584399197559068
17.0	1915.0	4.915654108874616	0.029115264417544306	1.67	0.1977104655696671	0.579690918749364	1.95193110414615
19.0	1915.0	5.49534502762398	0.13793869179007423	1.57	0.1844367579738071	0.44493540937858356	2.231563559043224
20.0	1915.0	5.9402804370025635	0.1311319526918837	1.82	0.15345152022871567	0.4512971858774053	1.7994286543943219
18.0	1915.0	6.391577622879969	0.05953573405179258	1.68	0.31292514136621596	0.6601667196883252	1.6274316552781085
16.0	1915.0	7.051744342568294	0.11562867336255112	1.84	0.14741217476414548	0.5687635358548633	1.5029191922508263
14.0	1915.0	7.620507878423157	0.018010000000000304	1.625	0.18662500000000026	0.7619800000000003	1.2918895176084542
12.0	1915.0	8.382487878423158	-0.07954999999999934	1.83	0.2632499999999993	0.7861399999999996	1.3194606988297264
10.0	1915.0	9.168627878423157	0.18838000000000044	1.7	0.29959999999999987	0.72963080073235	1.2831532003716168
8.0	1915.0	9.898258679155507	-0.0011324481026373512	1.68	0.4495130670632541	0.829029536490653	1.1503058477587313
6.0	1915.0	10.72728821564616	0.025439679141269655	1.64	0.5487751283856612	0.9096384915792921	1.1640194599772178
4.0	1915.0	11.636926707225452	-0.1484852171010771	1.58	0.41581317517358496	0.8085458419018199	1.1234241687791995
2.0	1915.0	12.445472549127272	-0.2118708736848418	1.56	0.5672442568760472	0.9717256313150653	1.0337539222240297
1.0	1915.0	13.417198180442337	-0.17711357874240696	1.63	0.6477065520921421	0.9629707766048945	1.0679528694843772
3.0	1915.0	14.380168957047232	-0.11487690444707344	1.75	0.5125777183894265	0.9097710429527688	1.031623892455733
5.0	1916.0	0.33585	-0.12563999999999997	1.86	0.4503250000000003	1.0358900000000002	1.051939513477975
7.0	1916.0	1.3717400000000002	-0.11887000000000003	1.77	0.5230250000000003	0.8653599999999997	1.1973027210328602
9.0	1916.0	2.2371	-0.0005699999999999594	1.74	0.44298037908329646	0.80506132692615	1.430440529853658
11.0	1916.0	3.04216132692615	0.047177441194644176	1.58	0.22736335540582076	0.5931093472539302	1.585945491669888
13.0	1916.0	3.63527067418008	0.027762993035667094	1.83	0.2913352958775739	0.6679680419154428	1.5587053798254038
15.0	1916.0	4.303238716095523	0.12118626242414199	1.73	0.18786090774082664	0.6151480786076204	1.674757632995759
17.0	1916.0	4.918386794703143	0.021006694241528567	1.67	0.17018076127280457	0.579054569343568	1.9520813339002014
19.0	1916.0	5.497441364046711	0.12071529797988756	1.57	0.1737276414984379	0.44549290481523585	2.20805059735024
20.0	1916.0	5.942934268861947	0.12566103308035714	1.82	0.16702914886151055	0.4602834403464602	1.7967849749753018
18.0	1916.0	6.403217709208407	0.06703948615050859	1.68	0.297738418927338	0.6528158051698219	1.6352558957447216
16.0	1916.0	7.056033514378229	0.11908206584657921	1.84	0.13477040967367016	0.5702343640449286	1.4915306815520124
14.0	1916.0	7.626267878423158	0.02768000000000015	1.625	0.2118500000000001	0.77067	1.288892325935091
12.0	1916.0	8.396937878423158	-0.08033000000000001	1.83	0.27004999999999946	0.7810500000000005	1.3173816351270595
10.0	1916.0	9.177987878423158	0.18528000000000056	1.7	0.31962500000000116	0.7371129580004752	1.272656662969294
8.0	1916.0	9.915100836423633	0.0019613731864320805	1.68	0.4653332441412106	0.8344027997009835	1.1517838214291674
6.0	1916.0	10.749503636124617	0.037241275552788666	1.64	0.5391503997147185	0.9020341625045987	1.1631751848114995
4.0	1916.0	11.651537798629215	-0.14615041399447115	1.58	0.41436863830310866	0.8173972921168424	1.1172614458664394
2.0	1916.0	12.468935090746058	-0.2073597137106562	1.56	0.5769009627847055	0.9726940131899422	1.0325988307113543
1.0	1916.0	13.441629103936	-0.15924107430342738	1.63	0.640988634425681	0.9641665957090684	1.0728342355901466
3.0	1916.0	14.405795699645068	-0.1302394291204947	1.75	0.49831383997105405	0.9000543003549322	1.033087573662798
5.0	1917.0	0.3524900000000002	-0.12541000000000002	1.86	0.45432499999999987	1.0400299999999998	1.051862058809608
7.0	1917.0	1.39252	-0.10457000000000005	1.77	0.5321749999999992	0.8613599999999997	1.2072589065740083
9.0	1917.0	2.2538799999999997	0.005340000000000122	1.74	0.4397337624420472	0.7952854710826314	1.4373280599218141
11.0	1917.0	3.049165471082631	0.04384600814241657	1.58	0.2178153675931982	0.5961853112443993	1.5938980587700697
13.0	1917.0	3.6453507823270304	0.0395628601801119	1.83	0.2779770815004523	0.6586000804532972	1.563098041397146
15.0	1917.0	4.303950862780328	0.1187675825274499	1.73	0.21782191082307056	0.620910191475863	1.6673028633916898
17.0	1917.0	4.924861054256191	0.015233987312293973	1.67	0.17713093642826694	0.5786319216657922	1.9495755591810706
19.0	1917.0	5.503492975921983	0.11674743427010492	1.57	0.1696778544217281	0.44723239561161066	2.194116888267739
20.0	1917.0	5.9507253715335935	0.1247286761079851	1.82	0.1770022376367253	0.4642960697560685	1.8042248923661306
18.0	1917.0	6.415021441289662	0.06871272299939646	1.68	0.3081928974440684	0.6442131900719135	1.6390266174138162
16.0	1917.0	7.0592346313615755	0.1186826330351074	1.84	0.13373421175287392	0.576023247061582	1.4849097012404653
14.0	1917.0	7.6352578784231575	0.035200000000000564	1.625	0.22399999999999975	0.770859999999999	1.2869019123362424
12.0	1917.0	8.406117878423156	-0.07714999999999961	1.83	0.28542499999999915	0.7832600000000003	1.3054658470202491
10.0	1917.0	9.189377878423157	0.18026000000000053	1.7	0.2876499999999993	0.7487601631969447	1.2679813960068562
8.0	1917.0	9.938138041620102	0.009470568856224437	1.68	0.459082620342981	0.8285500452165433	1.1530323993928768
6.0	1917.0	10.766688086836645	0.04943776108129394	1.64	0.5348030082533706	0.9060065908789294	1.1567668139676108
4.0	1917.0	11.672694677715574	-0.14162737891428145	1.58	0.4116517394244612	0.8229503396368862	1.1128172185221168
2.0	1917.0	12.49564501735246	-0.2002707108373647	1.56	0.5989399008643659	0.9742900038007463	1.0347829725374345
1.0	1917.0	13.469935021153207	-0.14870929062056737	1.63	0.6022345406549201	0.9584824258573459	1.079590091973945
3.0	1917.0	14.428417447010553	-0.14174681263389988	1.75	0.5232273932520659	0.8940725529894482	1.0340713303483817
5.0	1918.0	0.3649500000000001	-0.11914999999999987	1.86	0.45592500000000036	1.04515	1.0495602342618444
7.0	1918.0	1.4101000000000001	-0.10077999999999987	1.77	0.529075	0.8604099999999997	1.2131249499941958
9.0	1918.0	2.27051	0.011220000000000008	1.74	0.3946559730230881	0.7882247923266843	1.4428756796450435
11.0	1918.0	3.058734792326684	0.039822241124787716	1.58	0.21853818992627616	0.5978960136543359	1.6027852016738027
13.0	1918.0	3.65663080598102	0.05156013693316197	1.83	0.2616590377489425	0.6499318287236586	1.5580492372861745
